Timestamp,Seat,Event,Gender,Confidence
2026-07-16 12:20:00,3,ENTER,Male,100.0%
2026-07-16 12:20:04,4,ENTER,Female,100.0%
2026-07-16 12:20:05,4,EXIT,Female,N/A
2026-07-16 12:20:07,5,ENTER,Unknown,N/A
2026-07-16 12:20:08,5,EXIT,Unknown,N/A
2026-07-16 12:20:08,3,EXIT,Male,N/A
2026-07-16 12:20:09,9,ENTER,Male,92.9%
2026-07-16 12:20:09,10,ENTER,Male,92.9%
2026-07-16 12:20:25,9,EXIT,Male,N/A
2026-07-16 12:20:25,11,ENTER,Male,100.0%
2026-07-16 12:20:38,11,EXIT,Male,N/A
2026-07-16 12:20:39,10,EXIT,Male,N/A
2026-07-16 12:20:41,15,ENTER,Male,86.7%
2026-07-16 12:20:43,17,ENTER,Male,100.0%
2026-07-16 12:20:44,17,EXIT,Male,N/A
2026-07-16 12:20:52,15,EXIT,Male,N/A
2026-07-16 12:20:54,15,ENTER,Male,72.2%
2026-07-16 12:20:56,22,ENTER,Female,72.2%
2026-07-16 12:21:02,22,GENDER_CHANGE,Male,100.0%
2026-07-16 12:21:03,15,EXIT,Male,N/A
2026-07-16 12:21:03,25,ENTER,Male,100.0%
2026-07-16 12:21:12,22,EXIT,Male,N/A
2026-07-16 12:21:12,25,EXIT,Male,N/A
2026-07-16 12:21:14,29,ENTER,Male,100.0%
2026-07-16 12:21:19,29,EXIT,Male,N/A
2026-07-16 12:21:21,29,ENTER,Male,88.9%
2026-07-16 12:21:24,29,EXIT,Male,N/A
2026-07-16 12:21:25,34,ENTER,Male,92.3%
2026-07-16 12:21:29,34,EXIT,Male,N/A
2026-07-16 12:21:33,35,ENTER,Male,100.0%
2026-07-16 13:56:52,1,ENTER,Unknown,N/A
